image_path,class_label,attributes,caption,instance_id,mapped_class,split
images\team14_wrist_watch (1).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black wrist watch face,Team14_BlackWatch_A,wristwatch,val
images\team14_wrist_watch (2).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from side,Team14_BlackWatch_B,wristwatch,train
images\team14_wrist_watch (3).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying straight,Team14_YellowWatch_A,wristwatch,val
images\team14_wrist_watch (4).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch,Team14_BlackWatch_C,wristwatch,train
images\team14_wrist_watch (5).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black wrist watch face,Team14_BlackWatch_D,wristwatch,train
images\team14_wrist_watch (6).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying sideways,Team14_YellowWatch_B,wristwatch,train
images\team14_wrist_watch (7).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch sideways,Team14_BlackWatch_E,wristwatch,val
images\team14_wrist_watch (8).jpg,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,new small silver leather watch from side,Team14_SilverWatch_A,wristwatch,train
images\team14_wrist_watch (9).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side,Team14_BlackWatch_AS,wristwatch,train
images\team14_wrist_watch (10).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal wrist watch face,Team14_YellowWatch_C,wristwatch,val
images\team14_wrist_watch (11).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from side,Team14_BlackWatch_F,wristwatch,val
images\team14_wrist_watch (12).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side,Team14_SilverWatch_B,wristwatch,val
images\team14_wrist_watch (13).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch lying diagonally,Team14_SilverWatch_C,wristwatch,train
images\team14_wrist_watch (14).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch lying sideways,Team14_SilverWatch_V,wristwatch,train
images\team14_wrist_watch (16).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying straight,Team14_SilverWatch_D,wristwatch,train
images\team14_wrist_watch (17).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying sideways,Team14_YellowWatch_E,wristwatch,val
images\team14_wrist_watch (19).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side,Team14_SilverWatch_E,wristwatch,train
images\team14_wrist_watch (20).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic wrist watch from side,Team14_BlackWatch_G,wristwatch,train
images\team14_wrist_watch (21).jpg,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,new small silver leather wrist watch from side,Team14_SilverWatch_F,wristwatch,val
images\team14_wrist_watch (22).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from side,Team14_BlackWatch_H,wristwatch,train
images\team14_wrist_watch (23).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side,Team14_YellowWatch_F,wristwatch,train
